SerialNumber,HostName,HostIp,ModelNumber,DisplayStatus,Manufacturer,UserName,FirmwareVersion
HMAQ400393,GJWS-4040.aus.gjames.com.au,10.58.2.102,SyncMaster,ON,SAM,e103726,
HTMD900275,GJLT-1600.aus.gjames.com.au,10.33.4.103,S24C450,ON,SAM,e101793,
HMBC803858,GJWS-0591.aus.gjames.com.au,10.55.4.99,S24B420,ON,SAM,e021456,
HMJZC00359,GJWS-0591.aus.gjames.com.au,10.55.4.99,SyncMaster,ON,SAM,e021456,
H4ZT200399,GJPC-0071.aus.gjames.com.au,10.19.5.109,LF24T450F,ON,SAM,e102292,
H4ZT201147,GJPC-0071.aus.gjames.com.au,10.19.5.109,LF24T450F,ON,SAM,e102292,
HMCS507850,GJWS-0930.aus.gjames.com.au,10.34.4.186,SyncMaster,ON,SAM,e023363,
HMCS507897,GJPC-0160.aus.gjames.com.au,10.16.5.174,SyncMaster,ON,SAM,E103175,
HMCS507917,GJPC-0160.aus.gjames.com.au,10.16.5.174,SyncMaster,ON,SAM,E103175,
H4ZM900123,GJPC-0225.aus.gjames.com.au,10.35.4.177,S24E650,ON,SAM,e016445,
HTQC400842,GJWS-0760.aus.gjames.com.au,10.47.4.101,S27B370,ON,SAM,e023383,
HTLG201408,GJWS-1000.aus.gjames.com.au,10.41.4.101,S24C650,ON,SAM,e017531,
H4ZK800385,GJLT-1656.aus.gjames.com.au,10.51.4.174,S24E650,ON,SAM,e008726,
H4ZK800850,GJLT-1656.aus.gjames.com.au,10.51.4.174,S24E650,ON,SAM,e008726,
H4ZJ600501,GJWS-0976.aus.gjames.com.au,10.31.4.124,S24E650,ON,SAM,e023673,
H4ZJ600139,GJWS-0976.aus.gjames.com.au,10.31.4.124,S24E650,ON,SAM,e023673,
HMCS508281,GJLT-0940.aus.gjames.com.au,10.34.4.110,SyncMaster,ON,SAM,e008711,
HTMC301492,GJWS-0578.aus.gjames.com.au,10.55.4.193,SMS24A450,ON,SAM,e023575,
HTMC301517,GJWS-0578.aus.gjames.com.au,10.55.4.193,SMS24A450,ON,SAM,e023575,
H4LRA00169,GJPC-0092.aus.gjames.com.au,10.19.5.177,LF24T450F,ON,SAM,e102579,
H4LRA01018,GJPC-0092.aus.gjames.com.au,10.19.5.177,LF24T450F,ON,SAM,e102579,
HMCS508218,GJWS-1072.aus.gjames.com.au,10.25.4.111,SyncMaster,ON,SAM,e017469,
HTHFA00516,GJWS-0534.aus.gjames.com.au,10.65.4.179,S24C650,ON,SAM,e021763,
HTHG800748,GJWS-0979.aus.gjames.com.au,10.31.4.106,S24E650,ON,SAM,e102683,
HTHG800767,GJWS-0979.aus.gjames.com.au,10.31.4.106,S24E650,ON,SAM,e102683,
H4ZT200001,GJPC-0073.aus.gjames.com.au,10.19.4.102,LF24T450F,ON,SAM,E104216,
H4ZT201202,GJPC-0073.aus.gjames.com.au,10.19.4.102,LF24T450F,ON,SAM,E104216,
HTHGC00966,GJWS-1133.aus.gjames.com.au,10.20.4.111,S24E650,ON,SAM,e011634,
HTHG800745,GJWS-1133.aus.gjames.com.au,10.20.4.111,S24E650,ON,SAM,e011634,
CN422130S2,GJLT-1410.aus.gjames.com.au,10.49.5.100,HP E24u G4,ON,HPN,e102482,1.0.7.0
CN422130Q9,GJLT-1410.aus.gjames.com.au,10.49.5.100,HP E24u G4,ON,HPN,e102482,1.0.7.0
H4ZN100185,GJWS-1071.aus.gjames.com.au,10.25.4.110,S24E650,ON,SAM,e023134,
CN42253J04,GJPC-0416.aus.gjames.com.au,10.55.4.175,HP E24u G4,ON,HPN,e104262,1.0.7.0
H4ZM600266,GJLT-1031.aus.gjames.com.au,10.39.4.179,S24E650,ON,SAM,e102505,
H4ZM700155,GJLT-1031.aus.gjames.com.au,10.39.4.179,S24E650,ON,SAM,e102505,
HMCS507838,GJWS-0819.aus.gjames.com.au,10.30.4.108,SyncMaster,ON,SAM,e104148,
HVGZ704013,GJWS-0917.aus.gjames.com.au,10.18.4.102,SMBX2240,ON,SAM,e101512,
HTHG800776,GJPC-0168.aus.gjames.com.au,10.58.5.100,S24E650,ON,SAM,e103507,
HTHG800796,GJPC-0168.aus.gjames.com.au,10.58.5.100,S24E650,ON,SAM,e103507,
CN42253HP4,GJLT-1429.aus.gjames.com.au,10.27.4.104,HP E24u G4,ON,HPN,e003130,1.0.7.0
H4ZT200797,GJPC-0129.aus.gjames.com.au,10.54.5.103,LF24T450F,ON,SAM,E104063,
H4ZT201191,GJPC-0129.aus.gjames.com.au,10.54.5.103,LF24T450F,ON,SAM,E104063,
HTPG400096,GJPC-0466.aus.gjames.com.au,192.168.0.65,S24C650,ON,SAM,E103100,
HTPG400114,GJLT-1418.aus.gjames.com.au,10.54.4.203,S24C650,ON,SAM,E103275,
H4ZM600052,GJLT-0943.aus.gjames.com.au,10.34.4.184,S24E650,ON,SAM,e024040,
HTLG401241,GJLT-0943.aus.gjames.com.au,10.34.4.184,S24C650,ON,SAM,e024040,
HTHGC00596,GJWS-0980.aus.gjames.com.au,10.31.4.118,S24E650,ON,SAM,e017988,
HTHGC00571,GJWS-0980.aus.gjames.com.au,10.31.4.118,S24E650,ON,SAM,e017988,
HTSG400360,GJWS-0980.aus.gjames.com.au,10.31.4.118,S24C650,ON,SAM,e017988,
H4ZN900013,GJLT-1529.aus.gjames.com.au,10.48.4.177,S24E650,ON,SAM,e102750,
H4ZK800570,GJLT-1529.aus.gjames.com.au,10.48.4.177,S24E650,ON,SAM,e102750,
H4ZJ701136,GJWS-1120.aus.gjames.com.au,10.20.4.100,S24E650,ON,SAM,e102452,
H4ZJ701288,GJPC-0174.aus.gjames.com.au,10.55.4.244,S24E650,ON,SAM,e104144,
H4LJ400630,GJPC-0174.aus.gjames.com.au,10.55.4.244,S24E650,ON,SAM,e104144,
H4ZT201152,GJWS-4060.aus.gjames.com.au,10.33.4.107,LF24T450F,ON,SAM,E104122,
H4ZT200014,GJWS-4060.aus.gjames.com.au,10.33.4.107,LF24T450F,ON,SAM,E104122,
UID4353,GJWS-1080.aus.gjames.com.au,10.55.4.190,LG HDR WFHD,ON,GSM,e103710,
CN42312XD8,GJLT-1435.aus.gjames.com.au,10.54.4.147,HP Z24u G3,ON,HPN,e103396,1.2.10.0
CN42312XDM,GJLT-1435.aus.gjames.com.au,10.54.4.147,HP Z24u G3,ON,HPN,e103396,1.2.10.0
H4ZH300935,GJWS-4041.aus.gjames.com.au,10.65.4.102,S24E650,ON,SAM,e020225,
H4ZH300609,GJWS-4041.aus.gjames.com.au,10.65.4.102,S24E650,ON,SAM,e020225,
HTPGC00764,GJWS-1122.aus.gjames.com.au,10.20.4.113,S24E650,ON,SAM,e103972,
H4ZT200392,GJLT-1653.aus.gjames.com.au,10.54.4.236,LF24T450F,ON,SAM,e103185,
H4ZT201200,GJLT-1653.aus.gjames.com.au,10.54.4.236,LF24T450F,ON,SAM,e103185,
HMBC803208,GJPC-0116.aus.gjames.com.au,10.56.5.104,S24B420,ON,SAM,E104362,
HMBC803156,GJPC-0116.aus.gjames.com.au,10.56.5.104,S24B420,ON,SAM,E104362,
H4ZJ701294,GJLT-1423.aus.gjames.com.au,10.54.4.183,S24E650,ON,SAM,e100636,
HTPG400123,GJLT-1423.aus.gjames.com.au,10.54.4.183,S24C650,ON,SAM,e100636,
H4ZJ700935,GJWS-1018.aus.gjames.com.au,10.43.4.191,S24E650,ON,SAM,e103296,
CN42253HNC,GJPC-0416.aus.gjames.com.au,10.55.4.175,HP E24u G4,ON,HPN,e104262,1.0.7.0
HTHGC00583,GJWS-1124.aus.gjames.com.au,10.20.4.146,S24E650,ON,SAM,E103799,
HTHGC00563,GJWS-1124.aus.gjames.com.au,10.20.4.146,S24E650,ON,SAM,E103799,
H4ZJ600503,GJWS-1632.aus.gjames.com.au,10.20.4.124,S24E650,ON,SAM,e104154,
HTHGC00798,GJWS-1632.aus.gjames.com.au,10.20.4.124,S24E650,ON,SAM,e104154,
HTLG400710,GJWS-0752.aus.gjames.com.au,10.69.4.154,S24C650,ON,SAM,e022034,
HMCS508137,GJWS-1003.aus.gjames.com.au,10.41.4.108,SyncMaster,ON,SAM,e100897,
HTLF102242,GJLT-0418.aus.gjames.com.au,10.54.4.176,S24C650,ON,SAM,e022367,
HTPGC00028,GJLT-0418.aus.gjames.com.au,10.54.4.176,S24E650,ON,SAM,e022367,
CN42255MKF,GJLT-0417.aus.gjames.com.au,10.54.4.206,HP E24 G4,ON,HPN,e101987,1.1.2.0
CN42213163,GJPC-0294.aus.gjames.com.au,10.49.5.102,HP E24u G4,ON,HPN,e104076,1.0.7.0
CN422130MY,GJPC-0294.aus.gjames.com.au,10.49.5.102,HP E24u G4,ON,HPN,e104076,1.0.7.0
H4ZJ700998,GJWS-0840.aus.gjames.com.au,10.27.4.193,S24E650,ON,SAM,e009931,
