,,,,,,,,,,,,,,,
Customer account,Name,Creation date,Tax Invoice,Tax invoice date,Customer PO,Purchase order date,Delivery address,Item number,Product name,Quantity,Sales price,Net amount,GST,Gross amount,Serial number
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA291314,2/06/2022,1488519,,10 Grey Gum RoadTAREE NSW 2430AUS,FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,23/05/2022,INESA290693,23/05/2022,1490753,23/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",6593-823-399,Jabra EVOLVE 65 INCL. CHARGING STAND MS - MONO,2.00,226.93,453.86,45.39,499.25,"00256735657, 00256735713"
CUS18253,G JAMES AUSTRALIA PTY LTD,23/05/2022,INESA290693,23/05/2022,1490753,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,23/05/2022,INESA290853,26/05/2022,1490059,23/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",6599-823-399,Jabra EVOLVE 65 INCL. CHARGING STAND MS - BINAURAL,1.00,233.06,233.06,23.31,256.37,MS1362741
CUS18253,G JAMES AUSTRALIA PTY LTD,23/05/2022,INESA290979,27/05/2022,1490059,23/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",1.00,228.63,228.63,22.86,251.49,MS1363196
CUS18253,G JAMES AUSTRALIA PTY LTD,23/05/2022,INESA291312,2/06/2022,1490059,22/04/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,1.00,"1,488.67","1,488.67",148.87,"1,637.54",5CG2135TMB
CUS18253,G JAMES AUSTRALIA PTY LTD,23/05/2022,INESA291312,2/06/2022,1490059,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,0.00,0.00,0.00,0.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,27/05/2022,INESA291036,30/05/2022,1492360,27/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",6599-823-399,Jabra EVOLVE 65 INCL. CHARGING STAND MS - BINAURAL,1.00,233.06,233.06,23.31,256.37,MS1363245
CUS18253,G JAMES AUSTRALIA PTY LTD,27/05/2022,INESA291036,30/05/2022,1492360,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,1/06/2022,INESA291517,7/06/2022,1494579,13/04/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,1.00,"1,488.67","1,488.67",148.87,"1,637.54",5CG21362D6
CUS18253,G JAMES AUSTRALIA PTY LTD,1/06/2022,INESA291517,7/06/2022,1494579,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,1/06/2022,INESA291551,7/06/2022,1494579,1/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",1.00,228.63,228.63,22.86,251.49,MS1364001
CUS18253,G JAMES AUSTRALIA PTY LTD,1/06/2022,INESA291518,7/06/2022,1494564,13/04/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,1.00,"1,488.67","1,488.67",148.87,"1,637.54",5CG21362PP
CUS18253,G JAMES AUSTRALIA PTY LTD,1/06/2022,INESA291518,7/06/2022,1494564,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,1/06/2022,INESA291552,7/06/2022,1494564,1/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",1.00,228.63,228.63,22.86,251.49,MS1364002
CUS18253,G JAMES AUSTRALIA PTY LTD,6/06/2022,INESA291520,7/06/2022,1495564,22/04/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,1.00,"1,488.67","1,488.67",148.87,"1,637.54",5CG21361KP
CUS18253,G JAMES AUSTRALIA PTY LTD,6/06/2022,INESA291520,7/06/2022,1495564,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,6/06/2022,INESA291930,15/06/2022,1495564,6/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",1.00,228.63,228.63,22.86,251.49,MS1364880
CUS18253,G JAMES AUSTRALIA PTY LTD,9/06/2022,INESA291934,15/06/2022,1497798,9/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",6K4D5PA,PROBOOK 450 G9 I5-1235U 16GB DDR4-3200 512GB PCIE NVME 15 IN,1.00,"1,765.55","1,765.55",176.56,"1,942.11",5CG2207K5M
CUS18253,G JAMES AUSTRALIA PTY LTD,9/06/2022,INESA291934,15/06/2022,1497798,9/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",6G9G4PA,ELITEBOOK 840 G9 I5-1235U 16GB DDR5 256GB PCIE NVME 14 INCH,1.00,"1,715.21","1,715.21",171.52,"1,886.73",5CD2166N7W
CUS18253,G JAMES AUSTRALIA PTY LTD,9/06/2022,INESA293028,29/06/2022,1497798,9/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",UK718E,HP 5y NextBusDay Onsite NB Only HW Supp Commercial value NB/,1.00,405.55,405.55,40.56,446.11,
CUS18253,G JAMES AUSTRALIA PTY LTD,9/06/2022,INESA293028,29/06/2022,1497798,9/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7876E,HP 5y NextBusDay Onsite NB Only SVC Commercial Notebok with,1.00,279.74,279.74,27.97,307.71,
CUS18253,G JAMES AUSTRALIA PTY LTD,9/06/2022,INESA293028,29/06/2022,1497798,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,10/06/2022,INESA292008,16/06/2022,1498416,10/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",DP-DVI-01-MM,1m Display Port to Single Link DVI-D Cable - Male to Male,40.00,12.38,495.20,49.52,544.72,
CUS18253,G JAMES AUSTRALIA PTY LTD,10/06/2022,INESA292008,16/06/2022,1498416,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,22/06/2022,INESA292699,24/06/2022,1502149,22/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",UC-SB1-CAM,CRESTRON UC VIDEO CONFERENCE SMART SOUNDBAR & CAMERA,1.00,"1,281.00","1,281.00",128.10,"1,409.10",2149JBM01969
CUS18253,G JAMES AUSTRALIA PTY LTD,22/06/2022,INESA292699,24/06/2022,1502149,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,24/06/2022,INESA292740,24/06/2022,1503465,24/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",UC-SB1-CAM,CRESTRON UC VIDEO CONFERENCE SMART SOUNDBAR & CAMERA,2.00,"1,281.00","2,562.00",256.20,"2,818.20","2149JBM01978, 2149JBM01988"
CUS18253,G JAMES AUSTRALIA PTY LTD,24/06/2022,INESA292740,24/06/2022,1503465,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,24/06/2022,INESA292975,29/06/2022,1503237,24/06/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",2UK37AA,HP Thunderbolt Dock 120W G2,40.00,281.95,"11,278.00","1,127.80","12,405.80","5CG215XCKM, 5CG217XW71, 5CG215XCLW, 5CG215XCGL, 5CG215XCHJ, 5CG215XCH9, 5CG215XCMZ, 5CG215XCGN, 5CG215XCK6, 5CG215XCK9, 5CG215XCK7, 5CG215XCJC, 5CG217X5FH, 5CG217X5JV, 5CG217X5JT, 5CG217X5K0, 5CG217X5JL, 5CG217X5G8, 5CG217X5GW, 5CG217X5H3, 5CG217X5JB, 5CG217X5J5, 5CG217X5J8, 5CG217X5D6, 5CG215XCN1, 5CG215XCNM, 5CG215XCNC, 5CG215XCN4, 5CG215XCN9, 5CG215XCHD, 5CG215XCH7, 5CG215XCM5, 5CG217XW6X, 5CG217XW3L, 5CG217XW6Z, 5CG215XCMV, 5CG215XCN3, 5CG215XCML, 5CG215XCHP, 5CG215XCGG"
CUS18253,G JAMES AUSTRALIA PTY LTD,24/06/2022,INESA292975,29/06/2022,1503237,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,27/06/2022,INESA293315,30/06/2022,1504563,27/06/2022,1084 Kinsford Smith DrEAGLE FARM QLD 4009,2UK37AA,HP Thunderbolt Dock 120W G2,45.00,281.95,"12,687.75","1,268.77","13,956.52","5CG215X9XZ, 5CG215X9ZX, 5CG215XB0B, 5CG215XB0F, 5CG215XB6P, 5CG215XB90, 5CG215XB9B, 5CG215XB9C, 5CG215XB9F, 5CG215XB9L, 5CG215XBBB, 5CG215XBBD, 5CG215XBBG, 5CG215XBBJ, 5CG215XBBK, 5CG215XBBR, 5CG215XBBX, 5CG215XBBY, 5CG215XBC1, 5CG215XBC4, 5CG215XBC6, 5CG215XBC8, 5CG215XBC9, 5CG215XBCF, 5CG215XBCG, 5CG215XBCJ, 5CG215XBCL, 5CG215XBCS, 5CG215XBCV, 5CG215XBCW, 5CG215XBD0, 5CG215XBD1, 5CG215XCKL, 5CG217XVZ1, 5CG217XW74, 5CG217XW77, 5CG217XW79, 5CG217XW7C, 5CG217XW7R, 5CG217XW7T, 5CG217XW7W, 5CG217XW7Y, 5CG217XW91, 5CG217XW94, 5CG217XW9C"
CUS18253,G JAMES AUSTRALIA PTY LTD,27/06/2022,INESA293315,30/06/2022,1504563,27/06/2022,1084 Kinsford Smith DrEAGLE FARM QLD 4009,2UK37AA,HP Thunderbolt Dock 120W G2,5.00,281.95,"1,409.75",140.98,"1,550.73","5CG215X9Y3, 5CG215XB05, 5CG215XCKJ, 5CG215XCKN, 5CG215XCKQ"
CUS18253,G JAMES AUSTRALIA PTY LTD,1/07/2022,INESA293598,6/07/2022,1505971,1/07/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,1.00,"1,488.67","1,488.67",148.87,"1,637.54",5CG21361KN
CUS18253,G JAMES AUSTRALIA PTY LTD,1/07/2022,INESA293598,6/07/2022,1505971,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,1/07/2022,INESA296102,12/08/2022,1505971,1/07/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",1.00,228.63,228.63,22.86,251.49,MS1368640
CUS18253,G JAMES AUSTRALIA PTY LTD,8/07/2022,INESA293864,11/07/2022,1507510,8/07/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,1.00,"1,488.67","1,488.67",148.87,"1,637.54",5CG21362V7
